,Model,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
0,Abel-7B-002,0.0,0.7373148432187736,0.18821201967447992,0.6178555297851562
1,Abel-7B-002,0.1,0.7492906926516444,0.19089499254897235,0.6187381896972656
2,Abel-7B-002,0.2,0.7461204976933077,0.18907499142736195,0.6250238342285156
3,Abel-7B-002,0.3,0.751960563770961,0.19222910444810984,0.6113447265625
4,Abel-7B-002,0.4,0.7520733897555619,0.19558871934935448,0.6203211975097657
5,Abel-7B-002,0.5,0.7307308042765944,0.19123348982259628,0.6179964294433594
6,Abel-7B-002,0.6,0.7471911705387756,0.18958462644740937,0.6323193969726563
7,Abel-7B-002,0.7,0.7514218610753305,0.18751440001651642,0.6258123779296875
8,Abel-7B-002,0.8,0.7411767659476027,0.17802448656037448,0.613337875366211
9,Abel-7B-002,0.9,0.7284861228642985,0.18339137468766417,0.6180882873535156
10,Abel-7B-002,1.0,0.7240349729908631,0.18233337932499122,0.6044866027832031
11,Abel-7B-002,1.1,0.702336082759779,0.17994988182932137,0.5933494262695312
12,Abel-7B-002,1.2,0.6918322441014462,0.18131263677030798,0.572323486328125
13,Abel-7B-002,1.3,0.6758424254520796,0.18573900660639625,0.5643895874023438
14,Abel-7B-002,1.4,0.6153416488882348,0.17948676553556697,0.5229834363551321
15,Abel-7B-002,1.5,0.5712659377684044,0.1738726562234332,0.496570747696565
16,Abel-7B-002,1.6,0.5466352058351039,0.16947044676728543,0.4756806640625
17,Abel-7B-002,1.7,0.45561103554879256,0.18308590481035364,0.40060547119629886
18,Abel-7B-002,1.8,0.3642046414985616,0.18594054150689293,0.30868669966576806
19,Abel-7B-002,1.9,0.2905649961289993,0.19617745655418278,0.2564886849171199
20,Abel-7B-002,2.0,0.24455437129850627,0.20549479488215933,0.2324085197218467
21,WizardMath-7B-V1.1,0.0,0.782133594956249,0.13874978986196218,0.6444180297851563
22,WizardMath-7B-V1.1,0.1,0.7795724171085748,0.1393351082578301,0.6501838073730469
23,WizardMath-7B-V1.1,0.2,0.7957559853843413,0.1344368615467101,0.6762525329589844
24,WizardMath-7B-V1.1,0.3,0.7930719743954251,0.13694228301383551,0.6665462341308593
25,WizardMath-7B-V1.1,0.4,0.7831779310656711,0.1346964343767613,0.6624453735351562
26,WizardMath-7B-V1.1,0.5,0.7620333573275712,0.13568881212733683,0.6401235656738281
27,WizardMath-7B-V1.1,0.6,0.7676825529551133,0.13224576505646107,0.6490933532714844
28,WizardMath-7B-V1.1,0.7,0.7717139076092281,0.13700221908837554,0.6508378601074218
29,WizardMath-7B-V1.1,0.8,0.7720851783179679,0.1361288898065686,0.6507416381835938
30,WizardMath-7B-V1.1,0.9,0.7644519248321885,0.13565020041353998,0.6427708740234375
31,WizardMath-7B-V1.1,1.0,0.7581787299937569,0.13400857511162756,0.6424680480957031
32,WizardMath-7B-V1.1,1.1,0.7225256693507545,0.13738032319210466,0.6162693634033203
33,WizardMath-7B-V1.1,1.2,0.7124862424754538,0.14820607388764617,0.6001866302490234
34,WizardMath-7B-V1.1,1.3,0.6699366105019581,0.15058985098823902,0.5471009063720703
35,WizardMath-7B-V1.1,1.4,0.6459259408712387,0.16017003859207032,0.5270875244140625
36,WizardMath-7B-V1.1,1.5,0.558182002507376,0.16034094312177868,0.4793468467697113
37,WizardMath-7B-V1.1,1.6,0.4502023430862464,0.17916248775273558,0.37178339385986325
38,WizardMath-7B-V1.1,1.7,0.3640274192455723,0.20707827710914226,0.2912808420185097
39,WizardMath-7B-V1.1,1.8,0.26468118102656474,0.22806076615123086,0.193775413987154
40,WizardMath-7B-V1.1,1.9,0.22455209709377957,0.23880335153639315,0.14733682250976562
41,WizardMath-7B-V1.1,2.0,0.20693822284881022,0.2615622331388294,0.11750244140625
