Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-chat,hybrid_reasoning,0.0,math,0.34600259399414063,0.2881976318359375,0.63822216796875
deepseek-chat,hybrid_reasoning,0.0,mr-gsm8k,0.43636993408203123,0.17077392578125,0.8092724609375
deepseek-chat,hybrid_reasoning,0.1,math,0.33858155822753905,0.290509033203125,0.62087158203125
deepseek-chat,hybrid_reasoning,0.1,mr-gsm8k,0.4413909912109375,0.1701239013671875,0.805810546875
deepseek-chat,hybrid_reasoning,0.2,math,0.3472030029296875,0.29240753173828127,0.61717578125
deepseek-chat,hybrid_reasoning,0.2,mr-gsm8k,0.42062332153320314,0.1952783203125,0.7762890625
deepseek-chat,hybrid_reasoning,0.3,math,0.355157470703125,0.2980531005859375,0.624190673828125
deepseek-chat,hybrid_reasoning,0.3,mr-gsm8k,0.45106399536132813,0.1998828125,0.807841796875
deepseek-chat,hybrid_reasoning,0.4,math,0.3411845550537109,0.292307373046875,0.613745849609375
deepseek-chat,hybrid_reasoning,0.4,mr-gsm8k,0.4299751281738281,0.1664410400390625,0.814228515625
deepseek-chat,hybrid_reasoning,0.5,math,0.34781068420410155,0.2827666015625,0.6202197265625
deepseek-chat,hybrid_reasoning,0.5,mr-gsm8k,0.42851150512695313,0.19413299560546876,0.775888671875
deepseek-chat,hybrid_reasoning,0.6,math,0.3437921447753906,0.2902105712890625,0.6334892578125
deepseek-chat,hybrid_reasoning,0.6,mr-gsm8k,0.4324075317382812,0.18135009765625,0.808515625
deepseek-chat,hybrid_reasoning,0.7,math,0.34047454833984375,0.290293701171875,0.629228515625
deepseek-chat,hybrid_reasoning,0.7,mr-gsm8k,0.43729156494140625,0.2000213623046875,0.810361328125
deepseek-chat,hybrid_reasoning,0.8,math,0.34615919494628905,0.287962646484375,0.6271513671875
deepseek-chat,hybrid_reasoning,0.8,mr-gsm8k,0.4323081970214844,0.2062554931640625,0.8069482421875
deepseek-chat,hybrid_reasoning,0.9,math,0.3398078765869141,0.2949605712890625,0.63088427734375
deepseek-chat,hybrid_reasoning,0.9,mr-gsm8k,0.43110809326171873,0.1880694580078125,0.7939013671875
deepseek-chat,hybrid_reasoning,1.0,math,0.3481331481933594,0.299052490234375,0.6245751953125
deepseek-chat,hybrid_reasoning,1.0,mr-gsm8k,0.439261474609375,0.202025146484375,0.8047119140625
deepseek-chat,hybrid_reasoning,1.1,math,0.3353544616699219,0.2825592041015625,0.624052490234375
deepseek-chat,hybrid_reasoning,1.1,mr-gsm8k,0.4438525390625,0.18060272216796874,0.8068408203125
deepseek-chat,hybrid_reasoning,1.2,math,0.34064190673828126,0.291963134765625,0.629808349609375
deepseek-chat,hybrid_reasoning,1.2,mr-gsm8k,0.42079666137695315,0.2067376708984375,0.7983203125
deepseek-chat,hybrid_reasoning,1.3,math,0.3444354248046875,0.290704833984375,0.630154052734375
deepseek-chat,hybrid_reasoning,1.3,mr-gsm8k,0.42721282958984375,0.2023468017578125,0.7959423828125
deepseek-chat,hybrid_reasoning,1.4,math,0.3475334167480469,0.3014969482421875,0.622410400390625
deepseek-chat,hybrid_reasoning,1.4,mr-gsm8k,0.41900047302246096,0.18605728149414064,0.809755859375
deepseek-chat,hybrid_reasoning,1.5,math,0.3423204650878906,0.3042371826171875,0.609688232421875
deepseek-chat,hybrid_reasoning,1.5,mr-gsm8k,0.4148638916015625,0.2075054931640625,0.7850732421875
deepseek-chat,hybrid_reasoning,1.6,math,0.3321810150146484,0.281884765625,0.6318125
deepseek-chat,hybrid_reasoning,1.6,mr-gsm8k,0.43818878173828124,0.205509033203125,0.7994140625
