Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
deepseek-chat,hybrid_reasoning,0.0,0.3610638173421224,0.2686270141601563,0.6667305501302083
deepseek-chat,hybrid_reasoning,0.1,0.3557164637247721,0.2704448445638021,0.6516947428385417
deepseek-chat,hybrid_reasoning,0.2,0.3594397226969401,0.2762193298339844,0.6436946614583333
deepseek-chat,hybrid_reasoning,0.3,0.37114189147949217,0.2816913859049479,0.6547991943359375
deepseek-chat,hybrid_reasoning,0.4,0.3559829839070638,0.27132965087890626,0.6471596272786458
deepseek-chat,hybrid_reasoning,0.5,0.36126082102457685,0.2679943339029948,0.64616455078125
deepseek-chat,hybrid_reasoning,0.6,0.3585613759358724,0.2720671590169271,0.6626603190104167
deepseek-chat,hybrid_reasoning,0.7,0.3566107177734375,0.27524831136067707,0.6594173177083333
deepseek-chat,hybrid_reasoning,0.8,0.3605173619588216,0.27434478759765624,0.6571175130208333
deepseek-chat,hybrid_reasoning,0.9,0.3550245793660482,0.2771453857421875,0.6580537923177083
deepseek-chat,hybrid_reasoning,1.0,0.3633212025960286,0.28288126627604165,0.6545979817708333
deepseek-chat,hybrid_reasoning,1.1,0.3534374745686849,0.2655664571126302,0.6545172119140625
deepseek-chat,hybrid_reasoning,1.2,0.35400103251139325,0.2777588907877604,0.6578936767578125
deepseek-chat,hybrid_reasoning,1.3,0.35823165893554687,0.27597849527994794,0.6577854410807291
deepseek-chat,hybrid_reasoning,1.4,0.35944459279378255,0.28225700378417967,0.6536346435546875
deepseek-chat,hybrid_reasoning,1.5,0.3544110361735026,0.288115234375,0.6389190673828125
deepseek-chat,hybrid_reasoning,1.6,0.3498489761352539,0.26915547688802083,0.65974609375
