Model,Dataset,Temperature,Question_UUID,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Abel-7B-002,mr-gsm8k,0.1,f25b796f-bc99-49c7-a6cd-ac5bb98412ce,0.8908089399337769,0.40869107842445374,0.90185546875
Abel-7B-002,mr-gsm8k,0.1,d1cea8ad-2dc4-4ad8-8bfe-810140f59b09,0.8962725438177586,0.25725245475769043,0.9912109375
Abel-7B-002,mr-gsm8k,0.1,b27daa8c-a94d-4240-99e8-24f82af5ff1c,0.9394222311675549,0.03574615344405174,0.99658203125
Abel-7B-002,mr-gsm8k,0.1,77511c73-071d-448b-8c1e-1210131189b9,0.8721925914287567,0.2170676290988922,0.99560546875
Abel-7B-002,mr-gsm8k,0.1,c6b8499f-d3ab-4769-bd41-92b650591832,0.9263748675584793,0.038531411439180374,0.99560546875
Abel-7B-002,mr-gsm8k,0.1,d35c94ff-20b7-4399-a479-0b7632376d2a,0.9071683585643768,0.029878007248044014,0.998046875
Abel-7B-002,mr-gsm8k,0.1,1b78c211-4c79-4056-964a-af0099a6d0ee,0.7496860735118389,0.17800919711589813,0.445556640625
Abel-7B-002,mr-gsm8k,0.1,e5e3e5b1-cf96-4b5e-a97a-df61edf6bd9b,0.9345911499112844,0.029104387387633324,0.994140625
Abel-7B-002,mr-gsm8k,0.1,908dbe69-02d9-426a-8cdc-2eb2eb473598,0.9164271950721741,0.035099148750305176,0.845703125
Abel-7B-002,mr-gsm8k,0.1,39154d98-556c-47fb-9b54-7a95dd286d7b,0.8870024345815182,0.3017830550670624,0.970703125
Abel-7B-002,mr-gsm8k,0.1,007b7b92-4cfb-4b39-a4c3-1a81e03ba424,0.8003029651008546,0.07535078376531601,0.0233306884765625
Abel-7B-002,mr-gsm8k,0.1,240c352d-6757-4695-b714-776c28c17604,0.8759711412712932,0.38659000396728516,0.1800537109375
Abel-7B-002,mr-gsm8k,0.1,19879e34-459c-4845-82b3-fc86efb60452,0.6536475941538811,0.2752220332622528,0.76904296875
Abel-7B-002,mr-gsm8k,0.1,a12362fc-9289-4ac0-80b9-d2be3f014b46,0.9003961207345128,0.21461206674575806,0.98876953125
Abel-7B-002,mr-gsm8k,0.1,34aa6917-9259-4bdb-860f-5c9d394dd43a,0.6281829476356506,0.2125844657421112,0.403564453125
Abel-7B-002,mr-gsm8k,0.1,e451e855-a62b-402b-8e6b-0a5ca062f07e,0.889266598969698,0.027962077409029007,0.9853515625
Abel-7B-002,mr-gsm8k,0.1,334125a1-4bf5-47ff-95d3-6dede560224d,0.3256385810673237,0.3599948585033417,0.115966796875
Abel-7B-002,mr-gsm8k,0.1,2b038c65-0914-45ab-9fa0-e6e59b869705,0.5098740719258785,0.4040735960006714,0.307373046875
Abel-7B-002,mr-gsm8k,0.1,105d920d-8d12-40be-b4c0-c4b936897703,0.9429497420787811,0.21055874228477478,0.98291015625
Abel-7B-002,mr-gsm8k,0.1,bd18eef2-dd90-438e-b645-01f65056937d,0.8984043300151825,0.2527870237827301,0.1895751953125
Abel-7B-002,mr-gsm8k,0.1,e2e5b550-724d-4c3b-9d60-4f3c6487ecf5,0.7392085064202547,0.07836200296878815,0.84814453125
Abel-7B-002,mr-gsm8k,0.1,8c2506ed-84e6-4916-8f0c-c32a98613d00,0.8379868315532804,0.35339856147766113,0.07159423828125
Abel-7B-002,mr-gsm8k,0.1,e3993ba3-bb25-4513-a562-48fa1ae8b821,0.8088514786213636,0.41502508521080017,0.9482421875
Abel-7B-002,mr-gsm8k,0.1,47aa4e74-19de-4f93-946a-eb2d7c43b147,0.8790280371904373,0.10374148190021515,0.97607421875
Abel-7B-002,mr-gsm8k,0.1,f324aa5c-9648-4c78-9b87-9fc5bff6aa9f,0.769069935195148,0.2846950590610504,0.56201171875
Abel-7B-002,mr-gsm8k,0.1,d3546424-3228-4607-8c28-cee3e7631a7f,0.9226436261087656,0.04440179094672203,0.998046875
Abel-7B-002,mr-gsm8k,0.1,79992753-69d1-44d1-8546-3bae7d12338d,0.9357973039150238,0.40447112917900085,0.931640625
Abel-7B-002,mr-gsm8k,0.1,4ec666e9-3b18-4d91-982d-526702594b61,0.8003027439117432,0.04392993450164795,0.9931640625
Abel-7B-002,mr-gsm8k,0.1,6eeaf46b-e654-4a23-90c9-b9279d661021,0.9256263561546803,0.0429435558617115,0.79296875
Abel-7B-002,mr-gsm8k,0.1,8d55115d-db79-4a41-b00d-1cee518ee420,0.9027953818440437,0.023956485092639923,0.92431640625
Abel-7B-002,mr-gsm8k,0.1,7129a90b-7fd0-435a-9f52-f4cf24b59708,0.9743324667215347,0.03345419466495514,0.8759765625
Abel-7B-002,mr-gsm8k,0.1,52a9247e-a92d-48a5-abb7-f5e1389c73f5,0.9416943271644413,0.10666920244693756,0.7373046875
Abel-7B-002,mr-gsm8k,0.1,e0ea474c-4feb-4198-8daf-0e8dc7e06d70,0.9065127111971378,0.061046164482831955,0.91259765625
Abel-7B-002,mr-gsm8k,0.1,d7db07cd-77d9-42bb-afea-dbbac9fbaa06,0.8240824304521084,0.05764652416110039,0.388671875
Abel-7B-002,mr-gsm8k,0.1,829ab422-3e13-40b8-b5cc-fce82bd2b2f0,0.921440476551652,0.31958433985710144,0.89501953125
Abel-7B-002,mr-gsm8k,0.1,0f2bf6c8-e7d8-4bc6-8996-82328dfea3a0,0.8592970380559564,0.33929625153541565,0.77978515625
Abel-7B-002,mr-gsm8k,0.1,26615d12-2448-4032-b31a-59468ef4b202,0.8081953544169664,0.2789265513420105,0.95263671875
Abel-7B-002,mr-gsm8k,0.1,76b2ed8b-40cb-45e2-913f-aadf65b81b5e,0.9570610271766782,0.032797783613204956,0.97314453125
Abel-7B-002,mr-gsm8k,0.1,0876c910-8c3d-470c-8573-f7f966b9b716,0.8819753676652908,0.18018491566181183,0.96337890625
Abel-7B-002,mr-gsm8k,0.1,1932316b-e585-464a-a464-d5aa381bf6b7,0.9508579466491938,0.02364337258040905,0.89892578125
Abel-7B-002,mr-gsm8k,0.1,bd9e2d32-2713-4fea-af7b-9780648e7365,0.9179699895903468,0.03037034347653389,0.9931640625
Abel-7B-002,mr-gsm8k,0.1,db32dfdd-9820-42dc-87a5-597e80925377,0.4318471336737275,0.28665468096733093,0.9072265625
Abel-7B-002,mr-gsm8k,0.1,533484b2-6deb-415e-bf01-4247f9de0cbb,0.9611251214519143,0.2097601294517517,0.83740234375
Abel-7B-002,mr-gsm8k,0.1,6e301123-f557-405a-be28-bb00bab4dc2b,0.9545346070080996,0.030466215685009956,0.98779296875
Abel-7B-002,mr-gsm8k,0.1,72b0bf87-2923-4c67-a996-5673f10c2d64,0.8902549855411053,0.046077560633420944,0.89306640625
Abel-7B-002,mr-gsm8k,0.1,e24fba0b-630c-41d5-a50d-975d877df908,0.6572556560859084,0.1699158400297165,0.56982421875
Abel-7B-002,mr-gsm8k,0.1,c8abc0dd-f679-416f-8837-fea2ededd632,0.9409350156784058,0.3784579038619995,0.931640625
Abel-7B-002,mr-gsm8k,0.1,aa940a1b-c211-4ca8-9c64-92564a0dd712,0.8391422796994448,0.05877956002950668,0.607421875
Abel-7B-002,mr-gsm8k,0.1,3a2771f0-8107-42c5-a765-ab60aa322bff,0.17388474568724632,0.1286270022392273,0.43017578125
Abel-7B-002,mr-gsm8k,0.1,d5445507-a0f0-439f-94ef-f4114bb38a4a,0.9692408470436931,0.04448540136218071,0.80078125
