Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
WizardMath-7B-V1.1,mr-gsm8k,0.1,0.7795724171085748,0.13933510825783013,0.6501838073730469
WizardMath-7B-V1.1,mr-gsm8k,0.2,0.7957559853843413,0.13443686154671014,0.6762525329589844
WizardMath-7B-V1.1,mr-gsm8k,0.4,0.7831779310656711,0.13469643437676132,0.6624453735351562
WizardMath-7B-V1.1,mr-gsm8k,0.5,0.7620333573275712,0.13568881212733686,0.6401235656738281
WizardMath-7B-V1.1,mr-gsm8k,0.7,0.7717139076092281,0.13700221908837557,0.6508378601074218
WizardMath-7B-V1.1,mr-gsm8k,0.9,0.7644519248321885,0.13565020041354,0.6427708740234375
WizardMath-7B-V1.1,mr-gsm8k,1.1,0.7225256693507545,0.1373803231921047,0.6162693634033203
WizardMath-7B-V1.1,mr-gsm8k,1.2,0.7124862424754538,0.1482060738876462,0.6001866302490234
WizardMath-7B-V1.1,mr-gsm8k,1.4,0.6459259408712387,0.16017003859207035,0.5270875244140625
WizardMath-7B-V1.1,mr-gsm8k,1.5,0.558182002507376,0.1603409431217787,0.4793468467697113
WizardMath-7B-V1.1,mr-gsm8k,1.7,0.3640274192455723,0.20707827710914228,0.2912808420185097
WizardMath-7B-V1.1,mr-gsm8k,1.9,0.2245520970937796,0.23880335153639318,0.14733682250976562
