Model,Dataset,Temperature,Question_UUID,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Qwen3-0.6B,aime,0.1,0,aime,0.7157516479492188,0.397216796875,0.048126220703125
Qwen3-0.6B,aime,0.1,1,aime,0.686431884765625,0.411865234375,0.08154296875
Qwen3-0.6B,aime,0.1,2,aime,0.78485107421875,0.5498046875,0.0850830078125
Qwen3-0.6B,aime,0.1,3,aime,0.4953765869140625,0.402099609375,0.162353515625
Qwen3-0.6B,aime,0.1,4,aime,0.886962890625,0.65625,0.093994140625
Qwen3-0.6B,aime,0.1,5,aime,0.883544921875,0.603515625,0.051849365234375
Qwen3-0.6B,aime,0.1,6,aime,0.65362548828125,0.517578125,0.162353515625
Qwen3-0.6B,aime,0.1,7,aime,0.5213623046875,0.5185546875,0.0863037109375
Qwen3-0.6B,aime,0.1,8,aime,0.017452239990234375,0.246337890625,0.10089111328125
Qwen3-0.6B,aime,0.1,9,aime,0.905029296875,0.52392578125,0.07159423828125
Qwen3-0.6B,aime,0.1,10,aime,0.37310791015625,0.429931640625,0.30078125
Qwen3-0.6B,aime,0.1,11,aime,0.99609375,0.439453125,0.352294921875
Qwen3-0.6B,aime,0.1,12,aime,0.8861083984375,0.46337890625,0.11126708984375
Qwen3-0.6B,aime,0.1,13,aime,0.6758270263671875,0.363525390625,0.154052734375
Qwen3-0.6B,aime,0.1,14,aime,0.33514404296875,0.6826171875,0.11920166015625
Qwen3-0.6B,aime,0.1,15,aime,0.84375,0.38232421875,0.106689453125
Qwen3-0.6B,aime,0.1,16,aime,0.884765625,0.529296875,0.154052734375
Qwen3-0.6B,aime,0.1,17,aime,0.78070068359375,0.666015625,0.1441650390625
Qwen3-0.6B,aime,0.1,18,aime,0.81878662109375,0.7548828125,0.1312255859375
Qwen3-0.6B,aime,0.1,19,aime,0.802490234375,0.52294921875,0.06097412109375
Qwen3-0.6B,aime,0.1,20,aime,0.02545928955078125,0.671875,0.08880615234375
Qwen3-0.6B,aime,0.1,21,aime,0.644287109375,0.7041015625,0.0574951171875
Qwen3-0.6B,aime,0.1,22,aime,0.025726318359375,0.2939453125,0.2254638671875
Qwen3-0.6B,aime,0.1,23,aime,0.895263671875,0.40771484375,0.0863037109375
Qwen3-0.6B,aime,0.1,24,aime,0.3743743896484375,0.428955078125,0.30078125
Qwen3-0.6B,aime,0.1,25,aime,0.86962890625,0.57763671875,0.043365478515625
Qwen3-0.6B,aime,0.1,26,aime,0.22979736328125,0.61376953125,0.12420654296875
Qwen3-0.6B,aime,0.1,27,aime,0.4813232421875,0.5517578125,0.184814453125
Qwen3-0.6B,aime,0.1,28,aime,0.1624755859375,0.277587890625,0.1993408203125
Qwen3-0.6B,aime,0.1,29,aime,0.234832763671875,0.41650390625,0.1259765625
Qwen3-0.6B,aime,0.1,30,aime,0.2649383544921875,0.28759765625,0.048126220703125
Qwen3-0.6B,aime,0.1,31,aime,0.772705078125,0.461181640625,0.0592041015625
Qwen3-0.6B,aime,0.1,32,aime,0.85595703125,0.53271484375,0.0212860107421875
Qwen3-0.6B,aime,0.1,33,aime,0.2985687255859375,0.5849609375,0.0966796875
Qwen3-0.6B,aime,0.1,34,aime,0.0961151123046875,0.62890625,0.036224365234375
Qwen3-0.6B,aime,0.1,35,aime,0.923095703125,0.62060546875,0.0384521484375
Qwen3-0.6B,aime,0.1,36,aime,0.943359375,0.51953125,0.09808349609375
Qwen3-0.6B,aime,0.1,37,aime,0.736328125,0.460693359375,0.08038330078125
Qwen3-0.6B,aime,0.1,38,aime,0.9981689453125,0.0699462890625,0.2568359375
Qwen3-0.6B,aime,0.1,39,aime,0.344970703125,0.317626953125,0.1871337890625
