Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
gpt-4o-mini,hybrid_reasoning,0.0,0.36478331247965495,0.2582890828450521,0.69697265625
gpt-4o-mini,hybrid_reasoning,0.1,0.36204625447591143,0.2546908569335937,0.7004248046875
gpt-4o-mini,hybrid_reasoning,0.2,0.36658195495605467,0.262156982421875,0.7034519449869792
gpt-4o-mini,hybrid_reasoning,0.3,0.3669488779703776,0.2542118326822917,0.6933841959635416
gpt-4o-mini,hybrid_reasoning,0.4,0.3630548095703125,0.2574820963541667,0.6993965657552084
gpt-4o-mini,hybrid_reasoning,0.5,0.3594111887613932,0.2517845662434896,0.7056351725260417
gpt-4o-mini,hybrid_reasoning,0.6,0.36232551574707034,0.2579430135091146,0.700814208984375
gpt-4o-mini,hybrid_reasoning,0.7,0.3495129648844401,0.25950592041015624,0.696431884765625
gpt-4o-mini,hybrid_reasoning,0.8,0.359505983988444,0.2573973592122396,0.7000370279947916
gpt-4o-mini,hybrid_reasoning,0.9,0.34775527954101565,0.2585149129231771,0.6901936848958333
gpt-4o-mini,hybrid_reasoning,1.0,0.33890458424886066,0.25630035400390627,0.6864046223958333
gpt-4o-mini,hybrid_reasoning,1.1,0.3483473587036133,0.259434814453125,0.6784562174479166
gpt-4o-mini,hybrid_reasoning,1.2,0.34014027277628583,0.268245849609375,0.6646714274088542
gpt-4o-mini,hybrid_reasoning,1.3,0.3461360422770182,0.27758158365885416,0.6306901041666667
gpt-4o-mini,hybrid_reasoning,1.4,0.32881270090738934,0.28229329427083333,0.6083599853515625
gpt-4o-mini,hybrid_reasoning,1.5,0.3323479461669922,0.303126220703125,0.49576883951822914
gpt-4o-mini,hybrid_reasoning,1.6,0.31631014506022137,0.3200628662109375,0.39767659505208336
