Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
gpt-4o-mini,hybrid_reasoning,0.0,math,0.34186773681640625,0.2674927978515625,0.68024609375
gpt-4o-mini,hybrid_reasoning,0.0,mr-gsm8k,0.47936119079589845,0.2122705078125,0.78060546875
gpt-4o-mini,hybrid_reasoning,0.1,math,0.3389432373046875,0.2640799560546875,0.6848125
gpt-4o-mini,hybrid_reasoning,0.1,mr-gsm8k,0.47756134033203124,0.207745361328125,0.778486328125
gpt-4o-mini,hybrid_reasoning,0.2,math,0.34257958984375,0.272778076171875,0.684539794921875
gpt-4o-mini,hybrid_reasoning,0.2,mr-gsm8k,0.4865937805175781,0.209051513671875,0.7980126953125
gpt-4o-mini,hybrid_reasoning,0.3,math,0.34258843994140625,0.264180908203125,0.67533447265625
gpt-4o-mini,hybrid_reasoning,0.3,mr-gsm8k,0.4887510681152344,0.204366455078125,0.7836328125
gpt-4o-mini,hybrid_reasoning,0.4,math,0.33905810546875,0.267193603515625,0.6823759765625
gpt-4o-mini,hybrid_reasoning,0.4,mr-gsm8k,0.483038330078125,0.208924560546875,0.78449951171875
gpt-4o-mini,hybrid_reasoning,0.5,math,0.33897824096679685,0.2622628173828125,0.69132470703125
gpt-4o-mini,hybrid_reasoning,0.5,mr-gsm8k,0.461575927734375,0.199393310546875,0.7771875
gpt-4o-mini,hybrid_reasoning,0.6,math,0.33549075317382815,0.2701614990234375,0.68352294921875
gpt-4o-mini,hybrid_reasoning,0.6,mr-gsm8k,0.4964993286132813,0.1968505859375,0.7872705078125
gpt-4o-mini,hybrid_reasoning,0.7,math,0.33197085571289064,0.2695303955078125,0.67865869140625
gpt-4o-mini,hybrid_reasoning,0.7,mr-gsm8k,0.4372235107421875,0.209383544921875,0.7852978515625
gpt-4o-mini,hybrid_reasoning,0.8,math,0.3312290496826172,0.2674207763671875,0.68349072265625
gpt-4o-mini,hybrid_reasoning,0.8,mr-gsm8k,0.5008906555175782,0.2072802734375,0.7827685546875
gpt-4o-mini,hybrid_reasoning,0.9,math,0.3238991394042969,0.26626123046875,0.6748984375
gpt-4o-mini,hybrid_reasoning,0.9,mr-gsm8k,0.46703598022460935,0.2197833251953125,0.766669921875
gpt-4o-mini,hybrid_reasoning,1.0,math,0.3132902984619141,0.2649307861328125,0.6672666015625
gpt-4o-mini,hybrid_reasoning,1.0,mr-gsm8k,0.4669760131835938,0.213148193359375,0.7820947265625
gpt-4o-mini,hybrid_reasoning,1.1,math,0.32620246887207033,0.26940478515625,0.66250390625
gpt-4o-mini,hybrid_reasoning,1.1,mr-gsm8k,0.4590718078613281,0.2095849609375,0.7582177734375
gpt-4o-mini,hybrid_reasoning,1.2,math,0.3179634017944336,0.275385498046875,0.646108642578125
gpt-4o-mini,hybrid_reasoning,1.2,mr-gsm8k,0.45102462768554685,0.232547607421875,0.7574853515625
gpt-4o-mini,hybrid_reasoning,1.3,math,0.3272391662597656,0.28946826171875,0.6103876953125
gpt-4o-mini,hybrid_reasoning,1.3,mr-gsm8k,0.44062042236328125,0.218148193359375,0.7322021484375
gpt-4o-mini,hybrid_reasoning,1.4,math,0.3092983245849609,0.293628662109375,0.590032470703125
gpt-4o-mini,hybrid_reasoning,1.4,mr-gsm8k,0.42638458251953126,0.225616455078125,0.69999755859375
gpt-4o-mini,hybrid_reasoning,1.5,math,0.3176476135253906,0.3130906982421875,0.476119873046875
gpt-4o-mini,hybrid_reasoning,1.5,mr-gsm8k,0.405849609375,0.2533038330078125,0.594013671875
gpt-4o-mini,hybrid_reasoning,1.6,math,0.3079486083984375,0.3240380859375,0.393179931640625
gpt-4o-mini,hybrid_reasoning,1.6,mr-gsm8k,0.35811782836914063,0.300186767578125,0.420159912109375
