Model,Dataset,Temperature,Source,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Abel-7B-002,hybrid_reasoning,0.0,math,0.5053181667183526,0.27042004389315843,0.527764892578125
Abel-7B-002,hybrid_reasoning,0.0,mr-gsm8k,0.7055721929343417,0.1902523381076753,0.60433837890625
Abel-7B-002,hybrid_reasoning,0.1,math,0.5036148543683812,0.2719886868521571,0.5042958984375
Abel-7B-002,hybrid_reasoning,0.1,mr-gsm8k,0.7244729690859094,0.18565138367936013,0.591767578125
Abel-7B-002,hybrid_reasoning,0.2,math,0.5145382088976912,0.26753327053412795,0.50497119140625
Abel-7B-002,hybrid_reasoning,0.2,mr-gsm8k,0.7084956953395158,0.19162438234314322,0.578143310546875
Abel-7B-002,hybrid_reasoning,0.3,math,0.5149665651400573,0.2786018365249037,0.5064783935546875
Abel-7B-002,hybrid_reasoning,0.3,mr-gsm8k,0.726513691120781,0.211807272080332,0.57251708984375
Abel-7B-002,hybrid_reasoning,0.4,math,0.4982302086930722,0.2713143135271966,0.517875
Abel-7B-002,hybrid_reasoning,0.4,mr-gsm8k,0.7743272439669817,0.18349641015753146,0.6226507568359375
Abel-7B-002,hybrid_reasoning,0.5,math,0.4973295344712678,0.2645387058630585,0.5186893310546875
Abel-7B-002,hybrid_reasoning,0.5,mr-gsm8k,0.7208453427627682,0.1818473987653851,0.631444091796875
Abel-7B-002,hybrid_reasoning,0.6,math,0.5196332736206241,0.25480987989157433,0.5130994262695312
Abel-7B-002,hybrid_reasoning,0.6,mr-gsm8k,0.7167343208193779,0.16788139646872874,0.5702203369140625
Abel-7B-002,hybrid_reasoning,0.7,math,0.47346826253435575,0.2570174026936292,0.50743212890625
Abel-7B-002,hybrid_reasoning,0.7,mr-gsm8k,0.7510595267917961,0.1948289870098233,0.6333087158203125
Abel-7B-002,hybrid_reasoning,0.8,math,0.4742671611169353,0.2530897123664617,0.5145684814453125
Abel-7B-002,hybrid_reasoning,0.8,mr-gsm8k,0.7392602344602346,0.17624275987967844,0.5980184936523437
Abel-7B-002,hybrid_reasoning,0.9,math,0.4848187159970403,0.23565312557667492,0.4977914428710937
Abel-7B-002,hybrid_reasoning,0.9,mr-gsm8k,0.72344233231619,0.19156628694385286,0.610224609375
Abel-7B-002,hybrid_reasoning,1.0,math,0.4757667599758133,0.2362420915663242,0.496900146484375
Abel-7B-002,hybrid_reasoning,1.0,mr-gsm8k,0.7483284215442836,0.18598871665075417,0.67817138671875
Abel-7B-002,hybrid_reasoning,1.1,math,0.4443540386464447,0.22728096769377587,0.4585523681640625
Abel-7B-002,hybrid_reasoning,1.1,mr-gsm8k,0.7234120996668935,0.18370082579553124,0.5649600219726563
Abel-7B-002,hybrid_reasoning,1.2,math,0.4044279323364608,0.22543214365094896,0.44037432861328124
Abel-7B-002,hybrid_reasoning,1.2,mr-gsm8k,0.6888473633863031,0.17626926131546494,0.5821560668945313
Abel-7B-002,hybrid_reasoning,1.3,math,0.41672613282641396,0.22773298121616242,0.4319172515869141
Abel-7B-002,hybrid_reasoning,1.3,mr-gsm8k,0.7078000029325675,0.16163914377934163,0.5875213000239158
Abel-7B-002,hybrid_reasoning,1.4,math,0.3501553152314192,0.21365931952717682,0.39640709661668344
Abel-7B-002,hybrid_reasoning,1.4,mr-gsm8k,0.6357885406073183,0.15127517621964212,0.5479229736328125
Abel-7B-002,hybrid_reasoning,1.5,math,0.3393696867898256,0.20605719801651903,0.37047224542702056
Abel-7B-002,hybrid_reasoning,1.5,mr-gsm8k,0.5605635799374431,0.16106306027621028,0.4773455810546875
Abel-7B-002,hybrid_reasoning,1.6,math,0.3229619883997627,0.20591529649140003,0.33760505890750503
Abel-7B-002,hybrid_reasoning,1.6,mr-gsm8k,0.5389536066073924,0.16995750052854416,0.405313720703125
