Model,Dataset,Temperature,Solution_Level_Validity,Solution_Level_Redundancy,Solution_Score_Shepherd
Abel-7B-002,hybrid_reasoning,0.0,0.5386938377543508,0.2570587595955779,0.5405271402994791
Abel-7B-002,hybrid_reasoning,0.1,0.5404245401546359,0.25759913632335757,0.51887451171875
Abel-7B-002,hybrid_reasoning,0.2,0.5468644566379953,0.2548817891689638,0.5171665445963541
Abel-7B-002,hybrid_reasoning,0.3,0.550224419470178,0.26746940911747513,0.5174848429361979
Abel-7B-002,hybrid_reasoning,0.4,0.5442463812387238,0.2566779962989191,0.5353376261393229
Abel-7B-002,hybrid_reasoning,0.5,0.5345821691865179,0.2507568213467796,0.5374817911783855
Abel-7B-002,hybrid_reasoning,0.6,0.5524834481537497,0.24032179932110007,0.5226195780436198
Abel-7B-002,hybrid_reasoning,0.7,0.5197334732439292,0.24665266674632821,0.5284115600585938
Abel-7B-002,hybrid_reasoning,0.8,0.5184326733408186,0.24028188695199784,0.5284768168131511
Abel-7B-002,hybrid_reasoning,0.9,0.5245893187168985,0.22830531913787122,0.5165303039550782
Abel-7B-002,hybrid_reasoning,1.0,0.5211937035705584,0.22786652908039584,0.5271120198567708
Abel-7B-002,hybrid_reasoning,1.1,0.49086371548318614,0.22001761071073508,0.47628697713216145
Abel-7B-002,hybrid_reasoning,1.2,0.45183117084476787,0.21723832992836828,0.46400461832682294
Abel-7B-002,hybrid_reasoning,1.3,0.4644272018404659,0.21690154966297104,0.4574175805949846
Abel-7B-002,hybrid_reasoning,1.4,0.39808035304616735,0.2031921813883287,0.4218292236328125
Abel-7B-002,hybrid_reasoning,1.5,0.3763586321322366,0.19853309471546404,0.3883440406824833
Abel-7B-002,hybrid_reasoning,1.6,0.35908098810003525,0.1999022871330629,0.34892757760242477
